,counts,id,time,var1,var2,var3,var4,var5,var6
42325,0,CT0019200,2016,0,1,19,1,0.184262666,0
55871,0,CT0019300,2013,0,16,15,1,0.184262666,0
51356,0,CT0019300,2014,0,30,14,1,0.184262666,0
46841,0,CT0019300,2015,0,20,15,1,0.184262666,0
42326,0,CT0019300,2016,0,30,12,1,0.184262666,0
55872,0,CT0019400,2013,0,6,25,1,0.184262666,0
51357,0,CT0019400,2014,0,4,26,1,0.184262666,0
46842,0,CT0019400,2015,0,11,28,1,0.184262666,0
42327,0,CT0019400,2016,0,9,27,1,0.184262666,0
55874,0,CT0020000,2013,0,0,28,1,0.184262666,0
51359,0,CT0020000,2014,0,1,33,1,0.184262666,0
46844,0,CT0020000,2015,0,0,32,1,0.184262666,0
42329,0,CT0020000,2016,0,3,32,1,0.184262666,0
55882,0,CT00A5900,2013,29946,336,65,1,0.184262666,0
51367,0,CT00A5900,2014,30339,299,64,1,0.184262666,0
46852,0,CT00A5900,2015,30387,305,66,1,0.184262666,0
42337,0,CT00A5900,2016,29910,315,59,1,0.184262666,0
55883,0,CT00B5900,2013,519,0,5,1,0.184262666,0
51368,0,CT00B5900,2014,517,0,5,1,0.184262666,0
46853,0,CT00B5900,2015,517,0,5,1,0.184262666,0
42338,0,CT00B5900,2016,512,0,5,1,0.184262666,0
55884,2,CTCSP0000,2013,0,2788,1129,1,0.184262666,0
51369,1,CTCSP0000,2014,0,2358,1128,1,0.184262666,0
46854,2,CTCSP0000,2015,0,1741,1134,1,0.184262666,0
42339,0,CTCSP0000,2016,0,1923,1060,1,0.184262666,0
55888,0,MA0010100,2013,44837,694,115,1,0.106312292,0
51373,0,MA0010100,2014,44642,664,115,1,0.106312292,0
46858,0,MA0010100,2015,44392,712,110,1,0.106312292,0
42343,0,MA0010100,2016,43974,632,113,1,0.106312292,0
55889,0,MA0010200,2013,19875,327,43,1,0.106312292,0
51374,0,MA0010200,2014,19781,265,43,1,0.106312292,0
46859,0,MA0010200,2015,19704,289,44,1,0.106312292,0
42344,0,MA0010200,2016,19577,200,40,1,0.106312292,0
55890,0,MA0010300,2013,9825,54,20,1,0.106312292,0
51375,0,MA0010300,2014,9765,50,21,1,0.106312292,0
46860,0,MA0010300,2015,9983,55,21,1,0.106312292,0
42345,0,MA0010300,2016,9888,41,24,1,0.106312292,0
55891,0,MA0010400,2013,6162,65,22,1,0.106312292,0
51376,0,MA0010400,2014,6150,42,20,1,0.106312292,0
46861,0,MA0010400,2015,6159,51,21,1,0.106312292,0
42346,0,MA0010400,2016,6119,42,21,1,0.106312292,0
55892,0,MA0010500,2013,14173,229,41,1,0.106312292,0
51377,0,MA0010500,2014,14074,208,46,1,0.106312292,0
46862,0,MA0010500,2015,14001,187,46,1,0.106312292,0
42347,0,MA0010500,2016,13905,172,45,1,0.106312292,0
55893,0,MA0010600,2013,4956,40,16,1,0.106312292,0
51378,0,MA0010600,2014,4940,50,16,1,0.106312292,0
46863,0,MA0010600,2015,4923,53,16,1,0.106312292,0
42348,0,MA0010600,2016,4886,31,16,1,0.106312292,0
55894,0,MA0010700,2013,31592,472,54,1,0.106312292,0
51379,0,MA0010700,2014,31760,528,53,1,0.106312292,0
46864,0,MA0010700,2015,31666,536,58,1,0.106312292,0
42349,0,MA0010700,2016,31382,520,55,1,0.106312292,0
55895,0,MA0010800,2013,12299,63,33,1,0.106312292,0
51380,0,MA0010800,2014,12224,84,33,1,0.106312292,0
46865,0,MA0010800,2015,12177,91,32,1,0.106312292,0
42350,0,MA0010800,2016,12112,100,34,1,0.106312292,0
55896,0,MA0010900,2013,14041,137,36,1,0.106312292,0
51381,0,MA0010900,2014,14123,152,38,1,0.106312292,0
46866,0,MA0010900,2015,14066,113,31,1,0.106312292,0
42351,0,MA0010900,2016,14122,90,35,1,0.106312292,0
55897,0,MA0011000,2013,5892,51,17,1,0.106312292,0
51382,0,MA0011000,2014,5878,35,22,1,0.106312292,0
46867,0,MA0011000,2015,5858,55,22,1,0.106312292,0
42352,0,MA0011000,2016,5810,32,22,1,0.106312292,0
55898,0,MA0011100,2013,2983,71,20,1,0.106312292,0
51383,0,MA0011100,2014,2980,73,17,1,0.106312292,0
46868,0,MA0011100,2015,2989,99,18,1,0.106312292,0
42353,0,MA0011100,2016,2959,74,19,1,0.106312292,0
55899,0,MA0011200,2013,20713,135,34,1,0.106312292,0
51384,0,MA0011200,2014,20628,148,34,1,0.106312292,0
46869,0,MA0011200,2015,20511,80,34,1,0.106312292,0
42354,0,MA0011200,2016,20312,103,35,1,0.106312292,0
55900,0,MA0011300,2013,2016,22,10,1,0.106312292,0
51385,0,MA0011300,2014,2019,30,14,1,0.106312292,0
46870,0,MA0011300,2015,2014,34,13,1,0.106312292,0
42355,0,MA0011300,2016,1999,22,12,1,0.106312292,0
55901,0,MA0011400,2013,2747,28,14,1,0.106312292,0
51386,0,MA0011400,2014,2737,22,11,1,0.106312292,0
46871,0,MA0011400,2015,2756,12,12,1,0.106312292,0
42356,0,MA0011400,2016,2737,16,13,1,0.106312292,0
55902,0,MA0011500,2013,23736,456,61,1,0.106312292,0
51387,0,MA0011500,2014,23683,413,61,1,0.106312292,0
46872,0,MA0011500,2015,23550,365,61,1,0.106312292,0
42357,0,MA0011500,2016,23299,315,61,1,0.106312292,0
55907,0,MA0020100,2013,8352,81,16,1,0.106312292,0
51392,0,MA0020100,2014,8296,88,15,1,0.106312292,0
46877,0,MA0020100,2015,8221,77,16,1,0.106312292,0
42362,0,MA0020100,2016,8131,69,16,1,0.106312292,0
55908,0,MA0020300,2013,1778,5,3,1,0.106312292,0
51393,0,MA0020300,2014,1779,4,3,1,0.106312292,0
46878,0,MA0020300,2015,1777,9,3,1,0.106312292,0
